"","pkg_name","title","pkg_ver","license","roxygen","n_depends","rversion"
"auk","auk","eBird Data Extraction with AWK","0.0.1","GPL-3 | file LICENSE","6.0.1",11,">= 3.3.3"
"Delta","Delta","Measure of Agreement Between Two Raters","0.1.0.1","GPL-3","6.0.1.9000",1,">= 3.2.0"
"partitionComparison","partitionComparison","Implements Measures for the Comparison of Two Partitions","0.2.2","MIT + file LICENSE","6.0.1",4,">= 3.2.0"
"rjmcmc","rjmcmc","Reversible-Jump MCMC Using Post-Processing","0.2.2","GPL-3","6.0.1",5,">= 3.2.0"
"soundgen","soundgen","Parametric Voice Synthesis","1.0.0","GPL (>= 2)","6.0.1",16,">= 3.4"
"spatstat.data","spatstat.data","Datasets for 'spatstat'","1.0-1","GPL (>= 2)",NA,1,">= 3.3.0"
"TileManager","TileManager","Tile Manager","0.1.0","GPL (>= 3)","5.0.1",9,">= 3.3.2"
"ClassDiscovery","ClassDiscovery","Classes and Methods for ""Class Discovery"" with Microarrays or","3.3.7","Apache License (== 2.0)",NA,10,">= 3.0"
"dataMaid","dataMaid","A Suite of Checks for Identification of Potential Errors in a","0.9.2","GPL-2","5.0.1.9000",7,NA
"mdsOpt","mdsOpt","Searching for Optimal MDS Procedure for Metric Data","0.1-1","GPL (>= 2)",NA,3,NA
"odr","odr","Optimal Design and Statistical Power of Cost-Efficient","0.3.2","GPL-2","6.0.1",7,">= 3.3.0"
"PeakSegJoint","PeakSegJoint","Joint Peak Detection in Several ChIP-Seq Samples","2017.08.11","GPL-3",NA,6,">= 2.14"
"RcmdrPlugin.RiskDemo","RcmdrPlugin.RiskDemo","R Commander Plug-in for Risk Demonstration","1.9","GPL-2",NA,4,">= 2.10"
"vein","vein","Vehicular Emissions Inventories","0.2.1-4","MIT + file LICENSE","6.0.1",9,">= 2.10"
"tensorBF","tensorBF","Bayesian Tensor Factorization","1.0.0","MIT + file LICENSE","5.0.1",2,NA
"WeightedROC","WeightedROC","Fast, Weighted ROC Curves","2017.06.08","GPL-3",NA,7,NA
"carData","carData","Companion to Applied Regression Data Sets","3.0-0","GPL (>= 2)",NA,0,">= 3.0"
"loon","loon","Interactive Statistical Data Visualization","1.1.0","GPL-2","6.0.1",25,">= 3.4.0"
"metaplot","metaplot","Formalized Plots for Self-Describing Data","0.1.1","GPL-3","6.0.1",9,">= 2.10"
"nanotime","nanotime","Nanosecond-Resolution Time for R","0.0.1","GPL (>= 2)","5.0.1",3,NA
"nonmemica","nonmemica","Create and Evaluate NONMEM Models in a Project Context","0.7.1","GPL-3","6.0.1",14,NA
"clustermq","clustermq","Evaluate Function Calls on HPC Schedulers (LSF, SGE, SLURM)","0.7.0","Apache License (== 2.0) | file LICENSE","6.0.1",11,">= 3.0.2"
"fDMA","fDMA","Dynamic Model Averaging and Dynamic Model Selection for","1.0","GPL-3",NA,14,NA
"LearnGeom","LearnGeom","Learning Plane Geometry","1.0","GPL-2","6.0.1",4,">= 3.0.2"
"shadow","shadow","R Package for Geometric Shade Calculations","0.1.3","MIT + file LICENSE","5.0.1",10,">= 3.2.3"
"antaresProcessing","antaresProcessing","Antares Results Processing","0.10.0","GPL (>= 2) | file LICENSE","6.0.1",8,NA
"BETS","BETS","Brazilian Economic Time Series","0.0.98","GPL-3","5.0.1",33,">= 3.2.0"
"ecm","ecm","Build Error Correction Models","0.1.0","GPL (>= 2)","5.0.1",2,NA
"scalpel","scalpel","Processes Calcium Imaging Data","1.0.0","GPL (>= 2)","5.0.1",7,"*"
"textreadr","textreadr","Read Text Documents into R","0.3.0","GPL-2","5.0.1",8,">= 3.2.2"
"ggridges","ggridges","Ridgeline Plots in 'ggplot2'","0.4.0","GPL-2 | file LICENSE","6.0.1",13,">= 3.2"
"boxcoxmix","boxcoxmix","Response Transformations for Random Effect and Variance","0.13","GPL (>= 3)","6.0.1",4,">= 3.3.2"
"seplyr","seplyr","Standard Evaluation Interfaces for Common 'dplyr' Tasks","0.1.0","GPL-3","6.0.1",6,NA
"frequencyConnectedness","frequencyConnectedness","Spectral Decomposition of Connectedness Measures","0.1.5","GPL-2","6.0.1",9,NA
"grf","grf","Generalized Random Forests (Beta)","0.9.2","GPL-3","6.0.1",4,">= 3.3.1"
"parallelDist","parallelDist","Parallel Distance Matrix Computation using Multiple Threads","0.1.0","GPL (>= 2)",NA,10,NA
"revengc","revengc","Reverse Engineering Censored, Decoupled Residential Data for","1.0.0","MIT + file LICENSE","6.0.1.9000",2,">= 2.14"
"smapr","smapr","Acquisition and Processing of NASA Soil Moisture Active-Passive","0.0.1","GPL-2","5.0.1",11,">= 3.2.5"
"geex","geex","An API for M-Estimation","1.0.3","MIT + file LICENSE","6.0.1",21,">= 3.3"
"geojsonR","geojsonR","A GeoJson Processing Toolkit","1.0.0","MIT + file LICENSE","5.0.1",8,">= 3.2.3"
"jtools","jtools","Analyzing and Presenting Social Scientific Data","0.4.2","MIT + file LICENSE","6.0.1",10,NA
"sparsepp","sparsepp","'Rcpp' Interface to 'sparsepp'","0.1.0","BSD_3_clause + file LICENSE","5.0.1",0,NA
"uGMAR","uGMAR","Estimate Univariate Gaussian or Student's t Mixture","1.0.0","GPL-3","6.0.1",8,">= 3.3.2"
"HEMDAG","HEMDAG","Hierarchical Ensemble Methods for Directed Acyclic Graphs","1.0.0","GPL (>= 3)","6.0.1",7,">= 3.4.1"
"RInno","RInno","A Local Deployment Framework for Shiny Apps","0.0.1","GPL-3 | file LICENSE","6.0.1",12,NA
"datasauRus","datasauRus","Datasets from the Datasaurus Dozen","0.1.2","MIT + file LICENSE","6.0.1",5,">= 3.0.0"
"gravity","gravity","A Compilation of Different Estimation Methods for Gravity Models","0.3","GPL-2","5.0.1",4,">= 3.3.1"
"phuse","phuse","Web Application Framework for 'PhUSE' Scripts","0.1.4","MIT + file LICENSE","6.0.1",5,">= 3.0.1"
"rcoreoa","rcoreoa","Client for the CORE API","0.1.0","MIT + file LICENSE","6.0.1",8,NA
"ROptSpace","ROptSpace","Matrix Reconstruction from a Few Entries","0.1.0","GPL (>= 3)","6.0.1",1,NA
"BayLum","BayLum","Chronological Bayesian Models Integrating Optically Stimulated","0.1.0","GPL-3","6.0.1",11,">= 3.4.0"
"CIAAWconsensus","CIAAWconsensus","Isotope Ratio Meta-Analysis","1.1","Unlimited",NA,5,NA
"dataCompareR","dataCompareR","Compare Two Data Frames and Summarise the Difference","0.1.0","Apache License 2.0 | file LICENSE","6.0.1",10,">= 3.2.3"
"replyr","replyr","Fluid Use of 'dplyr'","0.1.0","GPL-3","5.0.1",11,NA
"hetGP","hetGP","Heteroskedastic Gaussian Process Modeling and Design under","1.0.0","LGPL","6.0.1",5,NA
"later","later","Utilities for Delaying Function Execution","0.3","GPL (>= 2)","6.0.1",6,NA
"ReIns","ReIns","Actuarial and Statistical Aspects""","1.0.0","GPL (>= 2)",NA,14,">= 3.1"
"gdns","gdns","Tools to Work with Google DNS Over HTTPS API","0.2.0","AGPL + file LICENSE","5.0.1",5,">= 3.0.0"
"mbir","mbir","Magnitude-Based Inferences","1.0","GPL-2","6.0.1",5,NA
"aiRthermo","aiRthermo","Atmospheric Thermodynamics and Visualization","1.0","GPL-3",NA,0,NA
"graphon","graphon","A Collection of Graphon Estimation Methods","0.1.0","GPL (>= 3)","6.0.1",2,NA
"hIRT","hIRT","Hierarchical Item Response Theory Models","0.1.0","GPL (>= 3)","6.0.1",4,">= 3.3.2"
"reprex","reprex","Prepare Reproducible Example Code for Sharing","0.1.0","MIT + file LICENSE","5.0.1.9000",16,">= 3.0.2"
"usmap","usmap","US Maps Including Alaska and Hawaii","0.1.0","GPL-3 | file LICENSE","5.0.1",7,">= 3.3.1"
"BLPestimatoR","BLPestimatoR","Performs a BLP Demand Estimation","0.1.2","GPL-3","6.0.1",6,NA
"spData","spData","Datasets for Spatial Analysis","0.2.2","CC0","6.0.1",1,">= 3.3.0"
"LabourMarketAreas","LabourMarketAreas","Identification, Tuning, Visualisation and Analysis of Labour","2.0","GPL (>= 2)",NA,7,">= 3.01"
"mize","mize","Unconstrained Numerical Optimization Algorithms","0.1.1","BSD 2-clause License + file LICENSE","6.0.1",3,NA
"moveVis","moveVis","Movement Data Visualization","0.9.1","GPL-3","6.0.1",16,">= 2.10"
"sgmcmc","sgmcmc","Stochastic Gradient Markov Chain Monte Carlo","0.1.0","GPL-3","6.0.1",6,">= 3.0"
"document","document","Run 'roxygen2' on (Chunks of) Single Code Files","1.0.0","BSD_2_clause + file LICENSE","6.0.1",11,">= 3.3.0"
"EnvCpt","EnvCpt","Detection of Structural Changes in Climate and Environment Time","0.1.1","GPL",NA,9,">= 3.3"
"HDtest","HDtest","High Dimensional Hypothesis Testing for Mean Vectors, Covariance","0.1","Apache License (== 2.0)","5.0.1",7,">= 3.2.2"
"knor","knor","Non-Uniform Memory Access ('NUMA') Optimized, Parallel K-Means","0.0-1","Apache License 2.0","6.0.1",3,">= 3.0"
"nse","nse","Numerical Standard Errors Computation in R","1-00.16","GPL (>= 2)","5.0.1",9,NA
"SimPhe","SimPhe","Tools to Simulate Phenotype(s) with Epistatic Interaction","0.1.0","GPL (>= 2)","5.0.1",3,NA
"bigstep","bigstep","Stepwise Selection for Large Data Sets","0.5.0","GPL-3","5.0.1",7,">= 3.3.1"
"bomrang","bomrang","Fetch Australian Government Bureau of Meteorology Data","0.0.7","MIT + file LICENSE","6.0.1",28,">= 3.2.0"
"geosapi","geosapi","GeoServer REST API R Interface","0.1-0","MIT + file LICENSE",NA,6,">= 3.1.0"
"getCRUCLdata","getCRUCLdata","Download and Use CRU CL2.0 Climatology Data in R","0.1.1","MIT + file LICENSE","5.0.1",10,NA
"ggmosaic","ggmosaic","Mosaic Plots in the 'ggplot2' Framework","0.1.1","GPL (>= 2)","5.0.1.9000",10,">= 3.2.0"
"grec","grec","Classification of Spatial Patterns from Environmental Data","1.0.0","GPL (>= 2)","6.0.1",2,">= 3.2.0"
"merDeriv","merDeriv","Case-Wise and Cluster-Wise Derivatives for Mixed Effects Models","0.1-1","GPL (>= 2)",NA,7,">= 3.2.3"
"odpc","odpc","One-Sided Dynamic Principal Components","1.0.0","GPL (>= 2)",NA,6,">= 3.3.1"
"sjlabelled","sjlabelled","Labelled Data Utility Functions","1.0.0","GPL-3","6.0.1",12,">= 3.2"
"fastnet","fastnet","Large-Scale Social Network Analysis","0.1.1","GPL (>= 2)","5.0.1",4,">= 3.3.2"
"IncDTW","IncDTW","Incremental Calculation of Dynamic Time Warping","0.1.0","GPL (>= 2)","6.0.1",3,NA
"mixKernel","mixKernel","Omics Data Integration Using Kernel Methods","0.1","GPL (>= 2)",NA,7,">= 2.10"
"PhylogeneticEM","PhylogeneticEM","Automatic Shift Detection using a Phylogenetic EM","1.0.0","GPL (>= 2) | file LICENSE","5.0.1",26,">= 3.2.1"
"prettycode","prettycode","Pretty Print R Code in the Terminal","1.0.0","MIT + file LICENSE","5.0.1.9000",6,NA
"scorecard","scorecard","Credit Risk Scorecard","0.1.0","MIT + file LICENSE","6.0.1",3,NA
"zoocat","zoocat","'zoo' Objects with Column Attributes","0.2.0","GPL-3","5.0.1",11,">= 3.1.1"
"BIGL","BIGL","Biochemically Intuitive Generalized Loewe Model","1.0.1","GPL-3","6.0.1",14,">= 2.10"
"datasets.load","datasets.load","Interface for Loading Datasets","0.1.0","GPL-3","5.0.1",3,">= 3.0.0"
"ghibli","ghibli","Studio Ghibli Palette Generator","0.1.0","MIT + file LICENSE","6.0.1",3,">= 3.4.0"
"naniar","naniar","Data Structures, Summaries, and Visualisations for Missing Data","0.1.0","MIT + file LICENSE","6.0.1.9000",24,">= 3.1.2"
"penaltyLearning","penaltyLearning","Penalty Learning","2017.05.08","GPL-3",NA,10,">= 2.10"
"rly","rly","Lex and Yacc","1.0.3","MIT + file LICENSE","5.0.1",3,NA
"udpipe","udpipe","Tokenization, Parts of Speech Tagging, Lemmatization and","0.1.0","MPL-2.0","6.0.1.9000",4,">= 2.10"
"redR","redR","REgularization by Denoising (RED)","1.0.0","GPL-3","6.0.1",1,">= 3.4.0"
"reportROC","reportROC","An Easy Way to Report ROC Analysis","1.0","GPL-3",NA,1,">= 3.3.3"
"fitur","fitur","Fit Univariate Distributions","0.1.0","MIT + file LICENSE","6.0.0",3,">= 3.3.2"
"ggdmc","ggdmc","Dynamic Model of Choice with Parallel Computation, and C++","0.1.3.5","GPL-2","5.0.1",11,">= 3.0.2"
"healthcareai","healthcareai","Tools for Healthcare Machine Learning","0.1.11","MIT + file LICENSE","6.0.0",13,NA
"fastR2","fastR2","Foundations and Applications of Statistics Using R (2nd Edition)","0.2.0","GPL (>= 2)","6.0.1.9000",27,">= 3.0.0"
"gamesGA","gamesGA","Genetic Algorithm for Sequential Symmetric Games","1.1.3.2","MIT + file LICENSE","6.0.1",5,">= 3.4.0"
"iMediate","iMediate","Methods for Mediation Analysis","0.2","GPL (>= 2)",NA,1,NA
"sinew","sinew","Create 'roxygen2' Skeleton with Information from Function Script","0.2.0","GPL-2 | GPL-3","6.0.1",3,">= 2.3.0"
"taxonomizr","taxonomizr","Functions to Work with NCBI Accessions and Taxonomy","0.2.2","GPL-2","6.0.1",7,">= 3.0.0"
"bayesImageS","bayesImageS","Bayesian Methods for Image Segmentation using a Potts Model","0.3-3","GPL (>= 2)","5.0.1",6,">= 2.14.0"
"intccr","intccr","Semiparametric Regression on Cumulative Incidence Function with","0.1.0","GPL (>= 2)","6.0.1.9000",6,">= 2.14.0"
"lero.lero","lero.lero","Generate 'Lero Lero' Quotes","0.1","GPL",NA,1,NA
"OOBCurve","OOBCurve","Out of Bag Learning Curve","0.1","GPL-3","6.0.1",4,">= 3.0.2"
"PeerPerformance","PeerPerformance","Luck-Corrected Peer Performance Analysis in R","2.1.1","GPL (>= 2)","5.0.1",5,NA
"RiskPortfolios","RiskPortfolios","Computation of Risk-Based Portfolios","2.1.1","GPL (>= 2)","5.0.1",4,NA
"covatest","covatest","Tests on Properties of Space-Time Covariance Functions","0.2.1","GPL (>= 2.0)","6.0.1",8,">= 3.3.2"
"fdANOVA","fdANOVA","Analysis of Variance for Univariate and Multivariate Functional","0.1.0","LGPL-2 | LGPL-3 | GPL-2 | GPL-3","6.0.1",8,">= 2.10"
"cytometree","cytometree","Automated Cytometry Gating","1.0.0","LGPL-3 | file LICENSE","6.0.1",8,">= 3.1.0"
"SSLASSO","SSLASSO","The Spike-and-Slab LASSO","0.0-1","GPL-3","6.0.1",0,NA
"eDMA","eDMA","Dynamic Model Averaging with Grid Search","1.1","GPL (>= 2)",NA,7,NA
"MCMCvis","MCMCvis","Tools to Visualize, Manipulate, and Summarize MCMC Output","0.6.3","GPL-3","5.0.1",7,">= 3.2.3"
"tidycensus","tidycensus","Load US Census Boundary and Attribute Data as 'tidyverse' and","0.1.2","MIT + file LICENSE","6.0.1",13,">= 3.3.0"
"vpc","vpc","Create Visual Predictive Checks","1.0.0","MIT + file LICENSE","6.0.1",9,">= 3.1.0"
"bgsmtr","bgsmtr","Bayesian Group Sparse Multi-Task Regression","0.1","GPL-2","5.0.1",7,">= 3.3.1"
"mclustcomp","mclustcomp","Measures for Comparing Clusters","0.1.0","GPL (>= 3)","6.0.1",3,NA
"supc","supc","The Self-Updating Process Clustering Algorithms","0.1","GPL (>= 3)","6.0.1",8,">= 3.0.2"
"startup","startup","Friendly R Startup Configuration","0.3.0","LGPL (>= 2.1)","5.0.1",0,">= 2.12.0"
"symDMatrix","symDMatrix","Partitioned Symmetric Matrices","1.0.0","MIT + file LICENSE","6.0.1",5,NA
"TeXCheckR","TeXCheckR","Parses LaTeX Documents for Errors","0.1.1","GPL-2","6.0.1",12,">= 2.10"
"tfruns","tfruns","Training Run Tools for 'TensorFlow'","0.9.1","Apache License 2.0","6.0.1",7,NA
"adiv","adiv","Analysis of Diversity","1.0","GPL (>= 2)",NA,6,">= 3.4.1"
"BGData","BGData","A Suite of Packages for Analysis of Big Genomic Data","1.0.0","MIT + file LICENSE","6.0.1",12,">= 3.0.0"
"gsynth","gsynth","Generalized Synthetic Control Method","1.0.2","GPL-2",NA,8,NA
"keras","keras","R Interface to 'Keras'","2.0.5","MIT + file LICENSE","6.0.1",10,NA
"perccalc","perccalc","Estimate Percentiles from an Ordered Categorical Variable","1.0.0","MIT + file LICENSE","6.0.1",16,">= 3.4.0"
"quickmatch","quickmatch","Quick Generalized Full Matching","0.1.2","GPL (>= 3)","6.0.1",5,">= 3.2.3"
"rtrim","rtrim","Trends and Indices for Monitoring Data","1.0.1","EUPL","5.0.1",8,NA
"scclust","scclust","Size-Constrained Clustering","0.1.0","GPL (>= 3)","6.0.1",2,">= 3.2.3"
"stepPenal","stepPenal","Stepwise Forward Variable Selection in Penalized Regression","0.1","GPL-2","5.0.1",7,">= 3.2.3"
"CINNA","CINNA","Deciphering Central Informative Nodes in Network Analysis","1.0.0","GPL-3","6.0.1",18,NA
"manet","manet","Multiple Allocation Model for Actor-Event Networks","1.0","GPL-2","6.0.1",3,">= 3.3.3"
"micemd","micemd","Multiple Imputation by Chained Equations with Multilevel Data","1.0.0","GPL-2 | GPL-3","6.0.0",15,">= 3.2.5"
"sarima","sarima","Simulation and Prediction with Seasonal ARIMA Models","0.4-3","GPL (>= 2)",NA,7,NA
"BayesNetBP","BayesNetBP","Bayesian Network Belief Propagation","1.0.1","GPL-2","5.0.1",15,">= 3.3.1"
"BioInstaller","BioInstaller","Lightweight Biology Software Installer","0.0.1","MIT + file LICENSE","6.0.1",9,">= 3.3.0"
"collapsibleTree","collapsibleTree","Interactive Collapsible Tree Diagrams using 'D3.js'","0.1.4","GPL (>= 3)","6.0.1",9,">= 3.0.0"
"Eagle","Eagle","Multiple Locus Association Mapping on a Genome-Wide Scale","1.0.2","GPL-3",NA,12,">= 3.4"
"geometa","geometa","Tools for Reading and Writing ISO/OGC Geographic Metadata","0.1-0","MIT + file LICENSE",NA,4,">= 3.1.0"
"GMSE","GMSE","Generalised Management Strategy Evaluation Simulator","0.2.2.5","GPL (>= 2)","6.0.1",6,">= 3.3.3"
"lidR","lidR","Airborne LiDAR Data Manipulation and Visualization for Forestry","1.0.2","GPL-3","5.0.1",20,">= 3.1.0"
"lmridge","lmridge","Linear Ridge Regression with Ridge Penalty and Ridge Statistics","1.0","GPL (>= 2.0)",NA,0,NA
"rstantools","rstantools","Tools for Developing R Packages Interfacing with 'Stan'","1.0.0","GPL (>= 3)","5.0.1",10,NA
"rvinecopulib","rvinecopulib","High Performance Algorithms for Vine Copula Modeling","0.1.0.1.0","GPL-3 | file LICENSE","6.0.1",14,NA
"SSBtools","SSBtools","Statistics Norway's Miscellaneous Small Tools","0.2.1","Apache License 2.0 | file LICENSE","5.0.1",0,">= 2.15.0"
"TLMoments","TLMoments","Calculate TL-Moments and Convert Them to Distribution Parameters","0.6.3.1","GPL (>= 2)","5.0.1",10,NA
"quickblock","quickblock","Quick Threshold Blocking","0.1.0","GPL (>= 3)","6.0.1",3,">= 3.2.3"
"rsolr","rsolr","R to Solr Interface","0.0.4","Apache License (== 2.0)",NA,11,">= 3.2.0"
"lagged","lagged","Classes and Methods for Lagged Objects","0.1-0","GPL (>= 2)",NA,1,NA
"RLT","RLT","Reinforcement Learning Trees","3.1.0","GPL (>= 2)","6.0.1",5,">= 3.0.0"
"shinyFeedback","shinyFeedback","Displays User Feedback Next to Shiny Inputs","0.0.1","GPL-3","5.0.1",4,">= 3.1.2"
"censusapi","censusapi","Retrieve Data from the U.S. Census Bureau APIs","0.2.0","MIT + file LICENSE","6.0.1",4,">= 3.0.0"
"dwapi","dwapi","A Client for Data.world's REST API","0.1.0","Apache License 2.0","6.0.1",7,">= 3.3.0"
"hrbrthemes","hrbrthemes","Additional Themes, Theme Components and Utilities for 'ggplot2'","0.1.0","MIT + file LICENSE","6.0.0",12,">= 3.2.0"
"IPEC","IPEC","Root Mean Square Curvature Calculation","0.0.8","GPL-2",NA,2,NA
"mockery","mockery","Mocking Library for R","0.2.0","MIT + file LICENSE","5.0.1",4,NA
"sweep","sweep","Tidy Tools for Forecasting","0.1.0","GPL (>= 3)","6.0.1",19,">= 3.3.0"
"timetk","timetk","A Tool Kit for Working with Time Series in R","0.1.0","GPL (>= 3)","6.0.1",23,">= 3.3.0"
"narray","narray","R Package for Handling Arrays in a Consistent Manner","0.1.1","Apache License (== 2.0) | file LICENSE","5.0.1",8,">= 3.0.2"
"AbSim","AbSim","Time Resolved Simulations of Antibody Repertoires","0.1","GPL-2","5.0.1",5,">= 3.1.0"
"bigstatsr","bigstatsr","Statistical Tools for Filebacked Big Matrices","0.2.1","GPL-3","6.0.1",25,">= 3.3.2"
"DMMF","DMMF","Daily Based Morgan--Morgan--Finney (DMMF) Soil Erosion Model","0.2.8.0","GPL (>= 2)",NA,4,">= 3.2.3"
"GPrank","GPrank","Gaussian Process Ranking of Multiple Time Series","0.1.1","MIT + file LICENSE","5.0.1",4,">= 2.14.0"
"haploR","haploR","Query Haploreg and RegulomeDB","1.4.1","GPL","5.0.1",4,">= 3.3"
"optrdd","optrdd","Optimized Regression Discontinuity Designs","0.9","GPL-3","6.0.1",6,">= 3.0.1"
"textutils","textutils","Utilities for Handling Strings and Text","0.1-6","GPL-3",NA,0,NA
"batchtools","batchtools","Tools for Computation on Batch Systems","0.9.0","LGPL-3","5.0.1",21,">= 3.0.0"
"castor","castor","Efficient Comparative Phylogenetics on Large Trees","1.0","GPL (>= 2)",NA,5,NA
"datastructures","datastructures","Implementation of Core Data Structures","0.1.0","GPL-3","6.0.1",8,">= 3.4"
"mapedit","mapedit","Interactive Editing of Spatial Data in R","0.3.0","MIT + file LICENSE","6.0.1",11,">= 3.1.0"
"openEBGM","openEBGM","EBGM Scores for Mining Large Contingency Tables","0.1.0","GPL-2 | GPL-3","6.0.1",8,">= 3.2.3"
"processx","processx","Execute and Control System Processes","2.0.0.1","MIT + file LICENSE","6.0.1.9000",8,NA
"BMisc","BMisc","Miscellaneous Functions for Panel Data, Quantiles, and Printing","1.0.0","GPL-2","6.0.1",2,">= 2.1.0"
"cholera","cholera","Amend, Augment and Aid Analysis of John Snow's Cholera Data","0.2.1","GPL-3","6.0.1",12,">= 2.10"
"civis","civis","R Client for the 'Civis data science API'","1.0.0","BSD_3_clause + file LICENSE","6.0.1",24,">= 3.2.0"
"distances","distances","Tools for Distances and Metrics","0.1.0","GPL (>= 3)","6.0.1",2,">= 3.2.3"
"vetr","vetr","Trust, but Verify","0.1.0","GPL (>= 2)","6.0.1",4,">= 3.2.2"
"LMfilteR","LMfilteR","Filter Methods for Parameter Estimation in Linear Regression","0.1.0","GPL (>= 2)","6.0.1",2,">= 3.3.3"
"powerlmm","powerlmm","Power Calculations for Longitudinal Multilevel Models","0.1.0","GPL (>= 3)","6.0.1",19,">= 3.2.0"
"ProliferativeIndex","ProliferativeIndex","Calculates and Analyzes the Proliferative Index","1.0.0","MIT + file LICENSE","5.0.1",4,">= 3.0.0"
