"","pkg_name_vec","pkg_title.df"
"KRMM","KRMM","Kernel Ridge Mixed Model"
"NB.MClust","NB.MClust","Negative Binomial Model-Based Clustering"
"hypersampleplan","hypersampleplan","Attribute Sampling Plan with Exact Hypergeometric Probabilities"
"logOfGamma","logOfGamma","Natural Logarithms of the Gamma Function for Large Values"
"webglobe","webglobe","3D Interactive Globes"
"kerasR","kerasR","R Interface to the Keras Deep Learning Library"
"QPBoot","QPBoot","Model Validation using Quantile Spectral Analysis and Parametric"
"baitmet","baitmet","Library Driven Compound Profiling in GC-MS Data"
"difconet","difconet","Differential Coexpressed Networks"
"ElastH","ElastH","Replicar metodologia de SPE/MF para calculo de elasticidade de"
"ids","ids","Generate Random Identifiers"
"ImaginR","ImaginR","Delimit and Characterize Color Phenotype of the Pearl Oyster"
"logistic4p","logistic4p","Logistic Regression with Misclassification in Dependent"
"pencopulaCond","pencopulaCond","Estimating Non-Simplified Vine Copulas Using Penalized Splines"
"mdpeer","mdpeer","Graph-Constrained Regression with Enhanced Regularization"
"DDM","DDM","Death Registration Coverage Estimation"
"dfCompare","dfCompare","Compare Two Dataframes and Return Adds, Changes, and Deletes"
"phrasemachine","phrasemachine","Simple Phrase Extraction"
"here","here","A Simpler Way to Find Your Files"
"SmartSVA","SmartSVA","Implementation of Smart SVA"
"didrooRFM","didrooRFM","Compute Recency Frequency Monetary Scores for your Customer Data"
"polypoly","polypoly","Helper Functions for Orthogonal Polynomials"
"SeerMapper","SeerMapper","A Quick Way to Map U.S. Rates and Data of U. S. States,"
"stratvns","stratvns","Optimal Stratification in Stratified Sampling Optimization"
"CharFun","CharFun","Numerical Computation Cumulative Distribution Function and"
"stratbr","stratbr","Optimal Stratification in Stratified Sampling"
"tictactoe","tictactoe","Tic-Tac-Toe Game"
"apng","apng","Convert Png Files into Animated Png"
"rdoxygen","rdoxygen","Create Doxygen Documentation for Source Code"
"timelineR","timelineR","Visualization for Time Series Data"
"TriadSim","TriadSim","Simulating Triad Genomewide Genotypes"
"lans2r","lans2r","Work with Look at NanoSIMS Data in R"
"wally","wally","The Wally Calibration Plot for Risk Prediction Models"
"RHPCBenchmark","RHPCBenchmark","Benchmarks for High-Performance Computing Environments"
"RNAstructureModuleMiner","RNAstructureModuleMiner","RNA Secondary Structure Comparison and Module Mining"
"ROI.models.miplib","ROI.models.miplib","'MIPLIB' 2010 Benchmark Instances"
"rpatrec","rpatrec","Recognising Visual Charting Patterns in Time Series Data"
"xLLiM","xLLiM","High Dimensional Locally-Linear Mapping"
"Rd2md","Rd2md","Markdown Reference Manuals"
"sotu","sotu","United States Presidential State of the Union Addresses"
"NPMOD","NPMOD","Non Parametric Module"
"AHMbook","AHMbook","Functions and Data for the Book 'Applied Hierarchical Modeling"
"CATT","CATT","The Cochran-Armitage Trend Test"
"checkarg","checkarg","Check the Basic Validity of a (Function) Argument"
"kdevine","kdevine","Multivariate Kernel Density Estimation with Vine Copulas"
"numKM","numKM","Create a Kaplan-Meier Plot with Numbers at Risk"
"poisbinom","poisbinom","A Faster Implementation of the Poisson-Binomial Distribution"
"printr","printr","Automatically Print R Objects to Appropriate Formats According"
"GUIgems","GUIgems","Graphical User Interface for Generalized Multistate Simulation"
"easyNCDF","easyNCDF","Tools to Easily Read/Write NetCDF Files into/from"
"zeligverse","zeligverse","Easily Install and Load Stable Zelig Packages"
"ExcessMass","ExcessMass","Excess Mass Calculation and Plots"
"PROscorer","PROscorer","Functions to Score Commonly-Used Patient-Reported Outcome (PRO)"
"rif","rif","Client for 'Neuroscience' Information Framework 'APIs'"
"PairwiseD","PairwiseD","Pairing Up Units and Vectors in Panel Data Setting"
"PROscorerTools","PROscorerTools","Tools to Score Patient-Reported Outcome (PRO) and Other"
"slim","slim","Singular Linear Models for Longitudinal Data"
"gomms","gomms","GLM-Based Ordination Method"
"GEEmediate","GEEmediate","Mediation Analysis for Generalized Linear Models Using the"
"learnrbook","learnrbook","Datasets for Aphalo's ""Learn R"" Book"
"mbgraphic","mbgraphic","Measure Based Graphic Selection"
"diffMeshGP","diffMeshGP","Multi-Fidelity Computer Experiments Using the Tuo-Wu-Yu Model"
"EpistemicGameTheory","EpistemicGameTheory","Constructing an Epistemic Model for the Games with Two Players"
"fastTextR","fastTextR","An Interface to the 'fastText' Library"
"iGSEA","iGSEA","Integrative Gene Set Enrichment Analysis Approaches"
"jocre","jocre","Joint Confidence Regions"
"lifelogr","lifelogr","Life Logging"
"shinycssloaders","shinycssloaders","Add CSS Loading Animations to 'shiny' Outputs"
"sinib","sinib","Sum of Independent Non-Identical Binomial Random Variables"
"usedist","usedist","Distance Matrix Utilities"
"iECAT","iECAT","Integrating External Controls into Association Test"
"lhmixr","lhmixr","Fit Sex-Specific Life History Models with Missing"
"pawls","pawls","Penalized Adaptive Weighted Least Squares Regression"
"WebGestaltR","WebGestaltR","The R Version of WebGestalt"
"lindia","lindia","Automated Linear Regression Diagnostic"
"lsasim","lsasim","Simulate Large Scale Assessment Data"
"outbreaks","outbreaks","A Collection of Disease Outbreak Data"
"qrsvm","qrsvm","SVM Quantile Regression with the Pinball Loss"
"AcuityView","AcuityView","A Package for Displaying Visual Scenes as They May Appear to an"
"plotprotein","plotprotein","Development of Visualization Tools for Protein Sequence"
"IndianTaxCalc","IndianTaxCalc","Indian Income Tax Calculator"
"RPEXE.RPEXT","RPEXE.RPEXT","Reduced Piecewise Exponential Estimate/Test Software"
"PROreg","PROreg","Patient Reported Outcomes Regression Analysis"
"pwr2","pwr2","Power and Sample Size Analysis for One-way and Two-way ANOVA"
"cowbell","cowbell","Performs Segmented Linear Regression on Two Independent"
"crunchy","crunchy","Shiny Apps on Crunch"
"ContourFunctions","ContourFunctions","Create Contour Plots from Data or a Function"
"DataGraph","DataGraph","Export Data from R so DataGraph can Read it"
"idar","idar","Individual Diversity-Area Relationships"
"seasonalview","seasonalview","Graphical User Interface for Seasonal Adjustment"
"kmcudaR","kmcudaR","'Yinyang' K-Means and K-NN using NVIDIA CUDA"
"m2b","m2b","Movement to Behaviour Inference using Random Forest"
"qrmix","qrmix","Quantile Regression Mixture Models"
"discord","discord","Functions for Discordant Kinship Modeling"
"dsrTest","dsrTest","Tests and Confidence Intervals on Directly Standardized Rates"
"KSEAapp","KSEAapp","Kinase-Substrate Enrichment Analysis"
"mut","mut","Pairwise Likelihood Ratios"
"ncdump","ncdump","Extract Metadata from 'NetCDF' Files as Data Frames"
"onehot","onehot","Fast Onehot Encoding for Data.frames"
"angstroms","angstroms","Tools for 'ROMS' the Regional Ocean Modeling System"
"EML","EML","Read and Write Ecological Metadata Language Files"
"MHTmult","MHTmult","Multiple Hypotheses Testing for Multiple Families/Groups"
"MetaboList","MetaboList","Annotation of Metabolites from Liquid Chromatography-Mass"
"pafdR","pafdR","Book Companion for Processing and Analyzing Financial Data with"
"SPADAR","SPADAR","Spherical Projections of Astronomical Data"
"ChocoLattes","ChocoLattes","Processing Data from Lattes CV Files"
"dataseries","dataseries","Switzerland's Data Series in One Place"
"mockr","mockr","Mocking in R"
"casebase","casebase","Fitting Flexible Smooth-in-Time Hazards and Risk Functions via"
"gsrsb","gsrsb","Group Sequential Refined Secondary Boundary"
"WikidataQueryServiceR","WikidataQueryServiceR","API Client Library for 'Wikidata Query Service'"
"aSPC","aSPC","An Adaptive Sum of Powered Correlation Test (aSPC) for Global"
"mstherm","mstherm","Analyze MS/MS Protein Melting Data"
"bulletr","bulletr","Algorithms for Matching Bullet Lands"
"coxphMIC","coxphMIC","Sparse Estimation of Cox Proportional Hazards Models via"
"md.log","md.log","Produces Markdown Log File with a Built-in Function Call"
"censCov","censCov","Linear Regression with a Randomly Censored Covariate"
"RandMeta","RandMeta","Efficient Numerical Algorithm for Exact Inference in Meta"
"zip","zip","Cross-Platform 'zip' Compression"
"ajv","ajv","Another JSON Schema Validator"
"BarBorGradient","BarBorGradient","Function Minimum Approximator"
"ider","ider","Various Methods for Estimating Intrinsic Dimension"
"nonpar","nonpar","A Collection of Nonparametric Hypothesis Tests"
"ring","ring","Circular / Ring Buffers"
"selectapref","selectapref","Analysis of Field and Laboratory Foraging"
"startR","startR","Automatically Retrieve Multidimensional Distributed Data Sets"
"chemmodlab","chemmodlab","A Cheminformatics Modeling Laboratory for Fitting and Assessing"
"CrossScreening","CrossScreening","Cross-Screening in Observational Studies that Test Many"
"KENDL","KENDL","Kernel-Smoothed Nonparametric Methods for Environmental Exposure"
"RpeakChrom","RpeakChrom","Tools for Chromatographic Column Characterization and Modelling"
"SADISA","SADISA","Species Abundance Distributions with Independent-Species"
"simMP","simMP","Simulate Somatic Mutations in Cancer Genomes from Mutational"
"statGraph","statGraph","Statistical Methods for Graphs"
"unix","unix","Unix System Utilities"
"PortfolioOptim","PortfolioOptim","Small/Large Sample Portfolio Optimization"
"PCADSC","PCADSC","Tools for Principal Component Analysis-Based Data Structure"
"yarrr","yarrr","The Pirate's Guide to R"
"icosa","icosa","Global Triangular and Penta-Hexagonal Grids Based on Tessellated"
"TSGSIS","TSGSIS","Two Stage-Grouped Sure Independence Screening"
"uqr","uqr","Unconditional Quantile Regression"
"WLreg","WLreg","Regression Analysis Based on Win Loss Endpoints"
"mro","mro","Multiple Correlation"
"complexity","complexity","Calculate the Proportion of Permutations in Line with an"
"bayesCL","bayesCL","Bayesian Inference on a GPU using OpenCL"
"SeerMapper2010East","SeerMapper2010East","Supplemental U. S. 2010 Census Tract Boundaries for 23 Eastern"
"SeerMapper2010West","SeerMapper2010West","Supplemental U.S. 2010 Census Tract Boundaries for 14 Western"
"StatPerMeCo","StatPerMeCo","Statistical Performance Measures to Evaluate Covariance Matrix"
"thankr","thankr","Find Out Who Maintains the Packages you Use"
"fpest","fpest","Estimating Finite Population Total"
"nopaco","nopaco","A Non-Parametric"
"R2ucare","R2ucare","Goodness-of-Fit Tests for Capture-Recapture Models"
"SeerMapper2010Regs","SeerMapper2010Regs","Supplemental U. S. 2010 Census Tract Boundaries for 15 States"
"spec","spec","A Data Specification Format and Interface"
"Tnseq","Tnseq","Identification of Conditionally Essential Genes in Transposon"
"tubern","tubern","R Client for the YouTube Analytics and Reporting API"
"wrangle","wrangle","A Systematic Data Wrangling Idiom"
"marcher","marcher","Migration and Range Change Estimation in R"
"optrcdmaeAT","optrcdmaeAT","Optimal Row-Column Designs for Two-Colour cDNA Microarray"
"SeerMapperEast","SeerMapperEast","Supplemental U. S. 2000 Census Tract Boundaries for 23 Eastern"
"SeerMapperWest","SeerMapperWest","Supplemental U.S. 2000 Census Tract Boundaries for 14 Western"
"fastqcr","fastqcr","Quality Control of Sequencing Data"
"GADAG","GADAG","A Genetic Algorithm for Learning Directed Acyclic Graphs"
"GLIDE","GLIDE","Global and Individual Tests for Direct Effects"
"D3GB","D3GB","Interactive Genome Browser with R"
"lspline","lspline","Linear Splines with Convenient Parametrisations"
"SeerMapperRegs","SeerMapperRegs","Supplemental U. S. 2000 Census Tract Boundary for 15 States with"
"mRchmadness","mRchmadness","Numerical Tools for Filling Out an NCAA Basketball Tournament"
"skeletor","skeletor","An R Package Skeleton Generator"
"duckduckr","duckduckr","Simple Client for the DuckDuckGo Instant Answer API"
"IMTest","IMTest","Information Matrix Test for Generalized Partial Credit Models"
"MedDietCalc","MedDietCalc","Multi Calculator to Compute Scores of Adherence to Mediterranean"
"micEconIndex","micEconIndex","Price and Quantity Indices"
"secure","secure","Sequential Co-Sparse Factor Regression"
"sylcount","sylcount","Syllable Counting and Readability Measurements"
"classifierplots","classifierplots","Generates a Visualization of Classifier Performance as a Grid of"
"CoFRA","CoFRA","Complete Functional Regulation Analysis"
"eshrink","eshrink","Shrinkage for Effect Estimation"
"zfa","zfa","Zoom-Focus Algorithm"
"HYRISK","HYRISK","Hybrid Methods for Addressing Uncertainty in RISK Assessments"
"TSMN","TSMN","Truncated Scale Mixtures of Normal Distributions"
"afmToolkit","afmToolkit","Functions for Atomic Force Microscope Force-Distance Curves"
"groupsubsetselection","groupsubsetselection","Group Subset Selection"
"nlshelper","nlshelper","Convenient Functions for Non-Linear Regression"
"vesselr","vesselr","Gradient and Vesselness Tools for Arrays and NIfTI Images"
"xbreed","xbreed","Genomic Simulation of Purebred and Crossbred Populations"
"xyz","xyz","The 'xyz' Algorithm for Fast Interaction Search in"
"enrichR","enrichR","Provides an R Interface to 'Enrichr'"
"medicare","medicare","Tools for Obtaining and Cleaning Medicare Public Use Files"
"grapes","grapes","Make Binary Operators"
"InterfaceqPCR","InterfaceqPCR","GUI to Analyse qPCR Results after PMA Treatment or not"
"SARP.moodle","SARP.moodle","XML Output Functions for Easy Creation of Moodle Questions"
"tensorr","tensorr","Sparse Tensors in R"
"aptg","aptg","Automatic Phylogenetic Tree Generator"
"focusedMDS","focusedMDS","Focused, Interactive Multidimensional Scaling"
"kscons","kscons","A Bayesian Approach for Protein Residue Contact Prediction using"
"optim.functions","optim.functions","Standard Benchmark Optimization Functions"
"BLModel","BLModel","Black-Litterman Posterior Distribution"
"fam2r","fam2r","From 'Familias' to R"
"metavcov","metavcov","Variance-Covariance Matrix for Multivariate Meta-Analysis"
"moezipfR","moezipfR","Marshall-Olkin Extended Zipf"
"patternize","patternize","Quantification of Color Pattern Variation"
"tilegramsR","tilegramsR","R Spatial Data for Tilegrams"
"tsqn","tsqn","Applications of the Qn Estimator to Time Series (Univariate and"
"itan","itan","Item Analysis for Multiple Choice Tests"
"shinyHeatmaply","shinyHeatmaply","Deploy 'heatmaply' using 'shiny'"
"NetworkRiskMeasures","NetworkRiskMeasures","Risk Measures for (Financial) Networks"
"slimrec","slimrec","Sparse Linear Method to Predict Ratings and Top-N"
"TeachBayes","TeachBayes","Teaching Bayesian Inference"
"vortexRdata","vortexRdata","Example Data for R Package 'vortexR'"
"docstring","docstring","Provides Docstring Capabilities to R Functions"
"IPWsurvival","IPWsurvival","Propensity Score Based Adjusted Survival Curves and"
"PCFAM","PCFAM","Computation of Ancestry Scores with Mixed Families and Unrelated"
"affluenceIndex","affluenceIndex","Affluence Indices"
"summariser","summariser","Easy Calculation and Visualisation of Confidence Intervals"
"tsxtreme","tsxtreme","Bayesian Modelling of Extremal Dependence in Time Series"
"CVR","CVR","Canonical Variate Regression"
"pathmapping","pathmapping","Compute Deviation and Correspondence Between Spatial Paths"
"xlsimple","xlsimple","'XLConnect' Wrapper"
"FMC","FMC","Factorial Experiments with Minimum Level Changes"
"gpg","gpg","GNU Privacy Guard for R"
"orgutils","orgutils","Helper Functions for Org Files"
"rnaturalearth","rnaturalearth","World Map Data from Natural Earth"
"rolr","rolr","Finding Optimal Three-Group Splits Based on a Survival Outcome"
"stmgp","stmgp","Rapid and Accurate Genetic Prediction Modeling for Genome-Wide"
"EstimateGroupNetwork","EstimateGroupNetwork","Perform the Joint Graphical Lasso and Selects Tuning Parameters"
"Rvoterdistance","Rvoterdistance","Calculates the Distance Between Voter and Multiple Polling"
"shinyShortcut","shinyShortcut","Creates an Executable Shortcut for Shiny Applications"
"OSCV","OSCV","One-Sided Cross-Validation"
"BASS","BASS","Bayesian Adaptive Spline Surfaces"
"BCSub","BCSub","A Bayesian Semiparametric Factor Analysis Model for Subtype"
"CNull","CNull","Fast Algorithms for Frequency-Preserving Null Models in Ecology"
"FlexDir","FlexDir","Tools to Work with the Flexible Dirichlet Distribution"
"RankingProject","RankingProject","Visualizations for Comparing Populations"
"rolypoly","rolypoly","Identifying Trait-Relevant Functional Annotations"
"gee4","gee4","Generalised Estimating Equations (GEE/WGEE) using 'Armadillo'"
"gatepoints","gatepoints","Easily Gate or Select Points on a Scatter Plot"
"outreg","outreg","Regression Table for Publication"
"collpcm","collpcm","Collapsed Latent Position Cluster Model for Social Networks"
"radmixture","radmixture","Calculate Population Stratification"
"cmpprocess","cmpprocess","Flexible Modeling of Count Processes"
"iNextPD","iNextPD","Interpolation and Extrapolation for Phylogenetic Diversity"
"rdataretriever","rdataretriever","R Interface to the Data Retriever"
"HoRM","HoRM","Supplemental Functions and Datasets for ""Handbook of Regression"
"SigOptR","SigOptR","R API Wrapper for SigOpt"
"CONS","CONS","Consonance Analysis Module"
"iSDM","iSDM","Invasive Species Distribution Modelling"
"SymTS","SymTS","Symmetric Tempered Stable Distributions"
"VertexSort","VertexSort","Network Decomposition and Randomization"
"badger","badger","Badge for R Package"
"BCellMA","BCellMA","B Cell Receptor Somatik Hyper Mutation Analysis"
"NHLData","NHLData","Scores for Every Season Since the Founding of the NHL in 1917"
"readOffice","readOffice","Read Text Out of Modern Office Files"
"cpr","cpr","Control Polygon Reduction"
"otinference","otinference","Inference for Optimal Transport"
"remindR","remindR","Insert and Extract ""Reminders"" from Function Comments"
"edarf","edarf","Exploratory Data Analysis using Random Forests"
"funchir","funchir","Convenience Functions by Michael Chirico"
"gt4ireval","gt4ireval","Generalizability Theory for Information Retrieval Evaluation"
"MLID","MLID","Multilevel Index of Dissimilarity"
"twilio","twilio","An Interface to the Twilio API for R"
"VarED","VarED","Variance Estimation using Difference-Based Methods"
"CPsurv","CPsurv","Nonparametric Change Point Estimation for Survival Data"
"SubgrpID","SubgrpID","Patient Subgroup Identification for Clinical Drug Development"
"CensSpatial","CensSpatial","Censored Spatial Models"
"cghRA","cghRA","Array CGH Data Analysis and Visualization"
"Dpit","Dpit","Distribution Pitting"
"cropdatape","cropdatape","Open Data of Agricultural Production of Crops of Peru"
"fitplc","fitplc","Fit Hydraulic Vulnerability Curves"
"gaiah","gaiah","Genetic and Isotopic Assignment Accounting for Habitat"
"WPKDE","WPKDE","Weighted Piecewise Kernel Density Estimation"
"DiffNet","DiffNet","Detection of Statistically Significant Changes in Complex"
"rcc","rcc","Parametric Bootstrapping to Control Rank Conditional Coverage"
"dirmcmc","dirmcmc","Directional Metropolis Hastings Algorithm"
"extdplyr","extdplyr","Data Manipulation Extension Based on 'Dplyr' and 'Tidyr'"
"fontHind","fontHind","Additional 'ggplot2' Themes Using 'Hind' Fonts"
"fontMPlus","fontMPlus","Additional 'ggplot2' Themes Using 'M+' Fonts"
"gbts","gbts","Hyperparameter Search for Gradient Boosted Trees"
"leafletCN","leafletCN","An R Gallery for China and Other Geojson Choropleth Map in"
"misreport","misreport","Statistical Analysis of Misreporting on Sensitive Survey"
"automagic","automagic","Automagically Document and Install Packages Necessary to Run R"
"AWR.Kinesis","AWR.Kinesis","Amazon 'Kinesis' Consumer Application for Stream Processing"
"betacal","betacal","Beta Calibration"
"ccafs","ccafs","Client for 'CCAFS' 'GCM' Data"
"europop","europop","Historical Populations of European Cities, 1500-1800"
"som.nn","som.nn","Topological k-NN Classifier Based on Self-Organising Maps"
"TAR","TAR","Bayesian Modeling of Autoregressive Threshold Time Series Models"
"EnviroPRA","EnviroPRA","Environmental Probabilistic Risk Assessment Tools"
"InvasionCorrection","InvasionCorrection","Invasion Correction"
"naptime","naptime","A Robust Flexible Sys.sleep() Replacement"
"neighbr","neighbr","Classification, Regression, Clustering with K Nearest Neighbors"
"prefeR","prefeR","R Package for Pairwise Preference Elicitation"
"robustarima","robustarima","Robust ARIMA Modeling"
"BayesSpec","BayesSpec","Bayesian Spectral Analysis Techniques"
"BCC1997","BCC1997","Calculation of Option Prices Based on a Universal Solution"
"bsearchtools","bsearchtools","Binary Search Tools"
"DecorateR","DecorateR","Fit and Deploy DECORATE Trees"
"lclGWAS","lclGWAS","Efficient Estimation of Discrete-Time Multivariate Frailty Model"
"mle.tools","mle.tools","Expected/Observed Fisher Information and Bias-Corrected Maximum"
"rnaturalearthdata","rnaturalearthdata","World Vector Map Data from Natural Earth Used in 'rnaturalearth'"
"stdvectors","stdvectors","C++ Standard Library Vectors in R"
"AWR.KMS","AWR.KMS","A Simple Client to the 'AWS' Key Management Service"
"BayesFM","BayesFM","Bayesian Inference for Factor Modeling"
"colorr","colorr","Color Palettes for EPL, MLB, NBA, NHL, and NFL Teams"
"fileplyr","fileplyr","Chunk Processing or Split-Apply-Combine on Delimited Files(CSV"
"gMOIP","gMOIP","'2D plots of linear or integer programming models'"
"GSparO","GSparO","Group Sparse Optimization"
"upmfit","upmfit","Unified Probability Model Fitting"
"educineq","educineq","Compute and Decompose Inequality in Education"
"keyringr","keyringr","Decrypt Passwords from Gnome Keyring and Windows Data Protection"
"marinespeed","marinespeed","Benchmark Data Sets and Functions for Marine Species"
"opusminer","opusminer","OPUS Miner Algorithm for Filtered Top-k Association Discovery"
"rope","rope","Model Selection with FDR Control of Selected Variables"
"spdownscale","spdownscale","Spatial Downscaling Using Bias Correction Approach"
"ubeR","ubeR","Interface to the Uber API"
"condir","condir","Computation of P Values and Bayes Factors for Conditioning Data"
"velociraptr","velociraptr","Fossil Analysis"
"warpMix","warpMix","Mixed Effects Modeling with Warping for Functional Data Using"
"dgodata","dgodata","Data for the 'dgo' Package"
"eefAnalytics","eefAnalytics","Analysing Education Trials"
"paperplanes","paperplanes","Distance Recordings from a Paper Plane Folding/Flying Experiment"
"rapiclient","rapiclient","Dynamic OpenAPI/Swagger Client"
"HRQoL","HRQoL","Health Related Quality of Life Analysis"
"maxnet","maxnet","Fitting 'Maxent' Species Distribution Models with 'glmnet'"
"optbdmaeAT","optbdmaeAT","Optimal Block Designs for Two-Colour cDNA Microarray Experiments"
"BayesCombo","BayesCombo","Bayesian Evidence Combination"
"FuzzyStatTra","FuzzyStatTra","Statistical Methods for Trapezoidal Fuzzy Numbers"
"OCA","OCA","Optimal Capital Allocations"
"GPB","GPB","Generalized Poisson Binomial Distribution"
"cbird","cbird","Clustering of Multivariate Binary Data with Dimension Reduction"
"mdftracks","mdftracks","Read and Write 'MTrackJ Data Files'"
"QuantileGradeR","QuantileGradeR","Quantile-Adjusted Restaurant Grading"
"samplingDataCRT","samplingDataCRT","Sampling Data Within Different Study Designs for Cluster"
"SMLoutliers","SMLoutliers","Outlier Detection Using Statistical and Machine Learning Methods"
"mbrglm","mbrglm","Median Bias Reduction in Binomial-Response GLMs"
"flippant","flippant","Dithionite Scramblase Assay Analysis"
"superheat","superheat","A Graphical Tool for Exploring Complex Datasets Using Heatmaps"
"moveWindSpeed","moveWindSpeed","Estimate Wind Speeds from Bird Trajectories"
"mpe","mpe","Multiple Primary Endpoints"
"readHAC","readHAC","Read Acoustic HAC Format"
"SignifReg","SignifReg","Significant Variable Selection in Linear Regression"
"EnsCat","EnsCat","Clustering of Categorical Data"
"ShinyTester","ShinyTester","Functions to Minimize Bonehead Moves While Working with 'shiny'"
"sonify","sonify","Data Sonification - Turning Data into Sound"
"ssmsn","ssmsn","Scale-Shape Mixtures of Skew-Normal Distributions"
"iBST","iBST","Improper Bagging Survival Tree"
"flood","flood","Statistical Methods for the (Regional) Analysis of Flood"
"inspectr","inspectr","Perform Basic Checks of Dataframes"
"observer","observer","Observe and Check your Data"
"poio","poio","Input/Output Functionality for ""PO"" and ""POT"" Message"
"alphabetr","alphabetr","Algorithms for High-Throughput Sequencing of Antigen-Specific T"
"gbp","gbp","A Bin Packing Problem Solver"
"hurricaneexposure","hurricaneexposure","Explore and Map County-Level Hurricane Exposure in the United"
"tracer","tracer","Slick Call Stacks"
"LumReader","LumReader","TL/OSL Reader Simulator"
"sparsestep","sparsestep","SparseStep Regression"
"BayesPieceHazSelect","BayesPieceHazSelect","Variable Selection in a Hierarchical Bayesian Model for a Hazard"
"eclust","eclust","Environment Based Clustering for Interpretable Predictive Models"
"nparsurv","nparsurv","Nonparametric Tests for Main Effects, Simple Effects and"
"mutSignatures","mutSignatures","Decipher Mutational Signatures from Somatic Mutational Catalogs"
"NORMA","NORMA","Builds General Noise SVRs"
"powerEQTL","powerEQTL","Power and Sample Size Calculation for eQTL Analysis"
"rKIN","rKIN","(Kernel) Isotope Niche Estimation"
"simpleSetup","simpleSetup","Set Up R Source Code Files for Use on Multiple Machines"
"chi2x3way","chi2x3way","Chi-Squared and Tau Index Partitions for Three-Way Contingency"
"skm","skm","Selective k-Means"
"ICV","ICV","Indirect Cross-Validation (ICV) for Kernel Density Estimation"
"intrval","intrval","Relational Operators for Intervals"
"kpcalg","kpcalg","Kernel PC Algorithm for Causal Structure Detection"
"mglR","mglR","Master Gene List"
"SOFIA","SOFIA","Making Sophisticated and Aesthetical Figures in R"
"tea","tea","Threshold Estimation Approaches"
"teda","teda","An Implementation of the Typicality and Eccentricity Data"
"rcure","rcure","Robust Cure Models for Survival Analysis"
"testforDEP","testforDEP","Dependence Tests for Two Variables"
"bytescircle","bytescircle","Statistics About Bytes Contained in a File as a Circle Plot"
"caesar","caesar","Encrypts and Decrypts Strings"
"cleanr","cleanr","Helps You to Code Cleaner"
"conditions","conditions","Standardized Conditions for R"
"bayesianETAS","bayesianETAS","Bayesian Estimation of the ETAS Model for Earthquake Occurrences"
"rCAT","rCAT","Conservation Assessment Tools"
"cumstats","cumstats","Cumulative Descriptive Statistics"
"maxmatching","maxmatching","Maximum Matching for General Weighted Graph"
"PoSI","PoSI","Valid Post-Selection Inference for Linear LS Regression"
"InfiniumPurify","InfiniumPurify","Estimate and Account for Tumor Purity in Cancer Methylation Data"
"rwars","rwars","R Client for the Star Wars API"
"GeneClusterNet","GeneClusterNet","Gene Expression Clustering and Gene Network"
"SADEG","SADEG","Stability Analysis in Differentially Expressed Genes"
"sparkwarc","sparkwarc","Load WARC Files into Apache Spark"
"EBrank","EBrank","Empirical Bayes Ranking"
"rld","rld","Analyze and Design Repeated Low-Dose Challenge Experiments"
"zTree","zTree","Functions to Import Data from 'z-Tree' into R"
"esmisc","esmisc","Misc Functions of Eduard Szöcs"
"NetWeaver","NetWeaver","Graphic Presentation of Complex Genomic and Network Data"
"QRank","QRank","A Novel Quantile Regression Approach for eQTL Discovery"
"BoolFilter","BoolFilter","Optimal Estimation of Partially Observed Boolean Dynamical"
"esaddle","esaddle","Extended Empirical Saddlepoint Density Approximation"
"rjsonapi","rjsonapi","Consumer for APIs that Follow the JSON API Specification"
"sysid","sysid","System Identification in R"
"BivRegBLS","BivRegBLS","Tolerance Intervals and Errors-in-Variables Regressions in"
"fabCI","fabCI","FAB Confidence Intervals"
"ltxsparklines","ltxsparklines","Lightweight Sparklines for a LaTeX Document"
"Plasmidprofiler","Plasmidprofiler","Visualization of Plasmid Profile Results"
"semver","semver","'Semantic Versioning V2.0' Parser"
"crisp","crisp","Fits a Model that Partitions the Covariate Space into Blocks in"
"FixSeqMTP","FixSeqMTP","Fixed Sequence Multiple Testing Procedures"
"requireR","requireR","R Source Code Modularizer"
"dSVA","dSVA","Direct Surrogate Variable Analysis"
"HeritSeq","HeritSeq","Heritability of Gene Expression for Next-Generation Sequencing"
"minimalRSD","minimalRSD","Minimally Changed CCD and BBD"
"Partiallyoverlapping","Partiallyoverlapping","Partially Overlapping Samples t-Tests"
"pwt9","pwt9","Penn World Table (Version 9.x)"
"Redmonder","Redmonder","Microsoft(r)-Inspired Color Palettes"
"tsdecomp","tsdecomp","Decomposition of Time Series Data"
"TSeriesMMA","TSeriesMMA","Multiscale Multifractal Analysis of Time Series Data"
"colr","colr","Functions to Select and Rename Data"
"FTRLProximal","FTRLProximal","FTRL Proximal Implementation for Elastic Net Regression"
"natserv","natserv","'NatureServe' Interface"
"awsjavasdk","awsjavasdk","Boilerplate R Access to the Amazon Web Services ('AWS') Java SDK"
"censys","censys","Tools to Query the 'Censys' API"
"hds","hds","Hazard Discrimination Summary"
"bossMaps","bossMaps","Convert Binary Species Range Maps into Continuous Surfaces Based"
"attrCUSUM","attrCUSUM","Tools for Attribute VSI CUSUM Control Chart"
"acrt","acrt","Autocorrelation Robust Testing"
"bayesloglin","bayesloglin","Bayesian Analysis of Contingency Table Data"
"DStree","DStree","Recursive Partitioning for Discrete-Time Survival Trees"
"KTensorGraphs","KTensorGraphs","Co-Tucker3 Analysis of Two Sequences of Matrices"
"restrictedMVN","restrictedMVN","Multivariate Normal Restricted by Affine Constraints"
